Electrical_Load,Renewable_generation,Heat_load
11.3413662421259,0,0
10.3559883452408,0,0
9.92451536298587,0,0
8.30923199877158,0,0
8.79197781066672,0,0
8.50293347213839,0,0
8.17570987284559,0,0
8.98987693185541,0,0
9.59581778431152,0,0
10.2550944714686,0,0
10.0940970202586,0.14291455011155,0
9.60954778728226,0.321270418439577,0
9.9549381312404,0.449707753951188,2.13920904265332
8.8700340057864,0.536783662596173,4.99606082973597
7.88689154522365,6.2474584839714,6.99793308722339
7.20389667952562,13.6949060792145,9.72803388239822
7.76605961403113,19.6747324309291,12.6517136507073
9.23772364064602,26.42799205723,13.7006118612054
10.2592825322604,32.617196995821,15.8643034516357
10.9357679468081,33.6654839480217,18.4360341481873
11.2910117781068,38.4433598811498,21.0139188736265
11.1125908530879,41.4087862137438,26.1921301234948
11.2349179085152,46.5630733073659,25.7267673877978
11.1263154259342,53.5031456672358,28.1770850096889
11.1018397673338,64.0998933336787,24.9786540750512
8.66831562259424,72.4497833634807,19.443297052096
8.30628642682949,73.0520710985721,13.8017665005499
7.47539145023857,74.9612622024213,9.01226047590523
7.4547698520896,89.7527366158047,7.31079164247016
7.66078428815974,82.9835420142871,4.48954069436568
7.39862248518841,93.7435731604808,2.45578336337943
7.3325202260366,94.3966584409235,0
8.12002507757921,102.032193244731,1.63528188613244
9.22797222699773,109.249681862611,3.05351854393501
9.63717183169378,123.44827023993,4.89972317387503
9.6316012704291,121.949560448756,6.2584649900179
8.78224394915664,117.28942135614,6.98240720476209
9.83351420212927,123.105786370668,6.710112691622
10.6174487278355,116.01281958129,7.33428636825457
10.003729914414,126.173394299557,7.81899342396903
11.4225706028623,130.581415116262,5.76484201288419
11.7853430624375,127.060047408601,3.44913500417444
11.2335355554982,130.114825190676,1.79966862788458
12.7683318595256,137.695449525188,0
13.1727382822211,123.997233176531,4.44708354104831
12.3629068841097,141.517521087375,7.86493754117331
12.8554275456793,144.772375755244,13.7477390776055
11.9228191778523,127.341129473495,20.1949886890594
12.5702537287164,131.869281983504,13.9777467551317
12.6403130651876,128.89374957154,10.9476550339945
10.7982152339557,125.575237246595,6.06980352454009
11.2094710390814,117.625452209287,1.71903536411806
11.8384533374596,119.59920842672,4.09881420430829
11.9645907132177,124.046712877408,5.8172004152016
12.3422706827305,120.623768622059,8.40890102654282
12.4811160055676,107.128680304726,10.6902494262178
13.2559622668423,109.27118061111,22.2514426929791
13.2587367164101,107.563821865869,33.4924589579921
